title,abstract,introduction,journal,field,main_discipline,main_levels,non_main_levels,pdf_url,status
Climate change is predicted to reduce global belowground ecosystem multifunctionality,"Although climate change is known to abruptly shift ecosystem functions in drylands worldwide, the global response of belowground ecosystem multifunctionality (BEMF) to future climate change remains largely unknown. Herein, we use fifteen indicators associated with key ecosystem functions (e.g., belowground productivity, nutrient pools and cycling) to evaluate global BEMF by averaging, principal component analysis, and single-threshold approaches. Our results reveal marked spatial variation in functionality across Köppen climate biomes, indicating that BEMF is higher in polar and continental biomes compared to dry and tropical biomes. We further identify an abrupt shift in global BEMF at a mean annual temperature (MAT) threshold of approximately 16.4 °C. Globally, temperature and soil pH generate strong negative effects on BEMF in MAT ≤ 16.4 °C regions, whereas precipitation and plant species richness positively dominate the dynamics of BEMF in regions where MAT > 16.4 °C. Importantly, we predict ongoing climate change to result in a 20.8% loss of global BEMF under SSP585 by 2100, particularly in temperate and continental biomes. As future climate change is projected to increase, integrating in situ experiments and Earth system models into BEMF-climate studies is critical to the conservation and sustainability of ecosystem functions. Although climate change is known to abruptly shift ecosystem functions, the response of belowground ecosystem multifunctionality to climate scenarios is less understood. This study predicts that climate change will reduce global belowground ecosystem multifunctionality.",,Nature Communications,Environmental Science|Environmental Science|Environmental Science,[[生物学];[生态学];[生态系统生态学]],L1:生物学; L2:生态学; L3:生态系统生态学; L1:大气科学; L2:气候学,L1:地球科学; L2:地理学; L3:环境地理学; L1:地理学; L2:自然地理学; L1:地质学; L2:水文地质学,https://www.nature.com/articles/s41467-025-64453-4.pdf,
Functional optic tract rewiring via subtype- and target-specific axonal regeneration and presynaptic activity enhancement,"Mechanisms underlying functional axonal rewiring after adult mammalian central nervous system (CNS) injuries remain unclear partially due to limited models. Here we develop a mouse intracranial pre-olivary pretectal nucleus (OPN) optic tract injury model and demonstrate that Pten/Socs3 knockout and CNTF expression in retinal ganglion cells (RGCs) promotes optic tract regeneration and OPN reinnervation. Revealed by transmission electron microscopy, trans-synaptic labeling, and electrophysiology, functional synapses are formed in OPN mainly by intrinsically photosensitive RGCs, thereby partially restoring the pupillary light reflex (PLR). Moreover, combining with Lipin1 knockdown accelerates the recovery and achieves functional reconnection after chronic injury. PLR can be further boosted by increasing RGC photosensitivity with melanopsin overexpression, and it can also be enhanced by treatment of a voltage-gated calcium channel modulator to augment presynaptic release. These findings highlight the importance of neuronal types and presynaptic activity for functional reconnection after CNS injuries.",,Nature Communications,Neuroscience|Neuroscience|Neuroscience,Unknown,,,https://www.nature.com/articles/s41467-025-57445-x.pdf,
Long-range moiré tuning effect via inter-layer drag interaction,"Constructing moiré superlattices has been demonstrated to be a powerful approach for tailoring the electronic properties of two-dimensional van der Waals materials. However, the periodic moiré potential diminishes rapidly away from the interface between the two stacked layers, restricting the moiré modulation only at the superlattice interface. Here, we present an alternative strategy to extend the influence range of the moiré tuning through drag interaction, a dynamic process involving inter-layer momentum/energy transfer mediated by Coulomb scatterings. By fabricating a unique electronic double-layer structure comprising a graphene moiré superlattice and a pristine graphene layer, we observe several intriguing inter-layer drag behaviors dominated by moiré physics. Notably, measuring the drag voltage within the pristine graphene layer, located distant from the moiré superlattice, reveals clear moiré tuning effects on the drag signal, including self-similar mapping spectra and the Hofstadter's butterfly spectra of drag resistance in the presence of a magnetic field. The realization of such moiré drag effect thus establishes a new paradigm for remote moiré engineering, offering a gateway to explore rich moiré physics in the emerging two-dimensional systems. This study demonstrates that the influence range of moiré tuning can be significantly extended beyond the moiré superlattice to a distant conductor through inter-layer drag interaction, presenting a novel strategy for remote moiré engineering.",,Nature Communications,Engineering|Mathematics|Engineering,Unknown,,,https://www.nature.com/articles/s41467-025-64267-4.pdf,
Single-cell analysis reveals immune cell abnormalities underlying the clinical heterogeneity of patients with systemic sclerosis,"The autoimmune disease systemic sclerosis (SSc) presents with multiple organ manifestations that often complicate management strategies. To explore variations in immune cell subsets and their link to clinical heterogeneity, here we perform single-cell profiling of peripheral blood mononuclear cells (PBMC) from 21 SSc patients who never received immunosuppressive therapy. We identify a subset of EGR1+ CD14+ monocytes in patients with scleroderma renal crisis (SRC). This subset activates NF-kB signaling and differentiates into tissue-damaging macrophages, which accumulate at sites of tissue injury. Furthermore, we identify a CD8+ T cell subset with type II interferon signature in the peripheral blood and the lung tissue of patients with progressive interstitial lung disease (ILD), suggesting that chemokine-driven migration of these cells contributes to ILD progression. Thus, our single-cell analysis reveals distinct immune cell abnormalities associated with clinical organ manifestations, providing insights into tailored treatment strategies.",,Nature Communications,Medicine|Immunology and Microbiology|Medicine,[[生物学];[细胞生物学];[免疫学]],L1:生物学; L2:细胞生物学; L3:免疫学; L1:细胞免疫学,L1:临床医学; L2:内科学; L3:风湿病学; L1:细胞病理学,https://www.nature.com/articles/s41467-025-60034-7.pdf,
Plasmodium falciparum egress disrupts endothelial junctions and activates JAK-STAT signaling in a microvascular 3D blood-brain barrier model,"Abstract Cerebral malaria is a severe neurovascular complication of Plasmodium falciparum infection, with high mortality rates even after treatment with effective antimalarials. Limitations in current experimental models have hindered our knowledge of the disease. We developed a 3D blood-brain barrier (BBB) model with enhanced barrier properties using primary brain endothelial cells, astrocytes, and pericytes. Exposure to parasite egress products increases microvascular permeability, likely due to transcriptional downregulation of junctional and vascular development genes in endothelial cells. In addition, it increases the expression of ferroptosis markers, antigen presentation and type I interferon genes and upregulates the JAK-STAT pathway across all BBB cell types. Incubation with cytoadherent schizont-stage P. falciparum -infected erythrocytes induces a similar, but highly localized transcriptional shift, along with inter-endothelial gaps at sites of parasite egress, leading to enhanced permeability. Treatment with the JAK-STAT inhibitor Ruxolitinib prevents the increase in permeability induced by P. falciparum egress products. These findings provide key insights into the parasite-mediated mechanisms driving brain microvascular pathogenesis in cerebral malaria and suggest potential avenues for adjunctive therapies.",,Nature Communications,"Medicine|Biochemistry, Genetics and Molecular Biology|Immunology and Microbiology",[[生物学];[细胞生物学];[分子生物学]],L1:生物学; L2:细胞生物学; L3:分子生物学; L1:细胞生物学; L2:细胞生理学,L1:基础医学; L2:病理学; L3:医学微生物学; L1:生理学; L2:循环生理学; L1:微生物学; L2:微生物免疫学,https://www.nature.com/articles/s41467-025-62514-2.pdf,
Screening the human druggable genome identifies ABHD17B as an anti-fibrotic target in hepatic stellate cells,"Hepatic stellate cells (HSCs) are activated with chronic liver injury and transdifferentiate into myofibroblasts, which produce excessive extracellular matrices that form the fibrotic scar. While the progression of fibrosis is understood to be the cause of end-stage liver disease, there are no approved therapies directed at interfering with the activity of HSC myofibroblasts. Here, we perform a high-throughput small interfering RNA (siRNA) screen in primary human HSC myofibroblasts to identify gene products necessary for the fibrotic phenotype of HSCs. We find that depletion of ABHD17B promotes the inactivation of HSCs, characterized by reduced COL1A1 and ACTA2 expression and accumulation of lipid droplets. Mice deficient in Abhd17b are also protected from fibrosis in the setting of in vivo liver injury. While ABHD17B is a depalmitoylase, our data suggest that ABHD17B promotes fibrosis through pathways independent of depalmitoylation that include interaction with MYO1B to modulate gene expression and HSC migration. Together, our results provide an analysis of the phenotypic consequences for siRNAs targeting RNAs from >9500 genes in primary human HSCs and identify ABHD17B as a potential therapeutic target to inhibit liver fibrosis. Liver fibrosis develops from excessive matrix produced by activated hepatic stellate cells (HSCs). Here, authors identify ABHD17B via an siRNA screen and show that ABHD17B regulates the fibrotic activity of HSCs and promotes liver fibrosis in vivo.",,Nature Communications,"Medicine|Medicine|Biochemistry, Genetics and Molecular Biology",[[生物学];[分子生物学];[生物化学]],L1:生物学; L2:分子生物学; L3:生物化学; L1:生物化学,L1:药学; L2:药物化学; L3:生物药物学; L1:基础医学; L2:病理学; L3:药理学; L1:细胞生物学; L1:分子生物学; L1:生物工程,https://www.nature.com/articles/s41467-025-56900-z.pdf,
Metabolic constraint of human telomere length by nucleotide salvage efficiency,"Human telomere length is tightly regulated and associated with diseases at either extreme, but how these bounds are established remains incompletely understood. Here, we developed a rapid cell-based telomere synthesis assay and found that nucleoside salvage bidirectionally constrains human telomere length. Metabolism of deoxyguanosine (dG) or guanosine via purine nucleoside phosphorylase (PNP) and hypoxanthine-guanine phosphoribosyltransferase to form guanine ribonucleotides strongly inhibited telomerase and shortened telomeres. Conversely, salvage of dG to its nucleotide forms via deoxycytidine kinase drove potent telomerase activation, the extent of which was controlled by the dNTPase SAMHD1. Circumventing limits on salvage by expressing Drosophila melanogaster deoxynucleoside kinase or augmenting dG metabolism using the PNP inhibitor ulodesine robustly lengthened telomeres in human cells, including those from patients with lethal telomere diseases. Our results provide an updated paradigm for telomere length control, wherein telomerase reverse transcriptase activity is actively and bidirectionally constrained by the availability of its dNTP substrates, in a manner that may be therapeutically actionable. Telomere length is tightly controlled in normal cellular function and the human population. Here, the authors reveal that telomere synthesis is bidirectionally constrained by cellular nucleotide pools, in a manner which may be therapeutically manipulated.",,Nature Communications,"Medicine|Biochemistry, Genetics and Molecular Biology|Agricultural and Biological Sciences",[[生物化学];[核酸生物化学]],L1:生物化学; L2:核酸生物化学,L1:细胞生物学; L2:细胞生理学; L1:遗传学; L2:分子遗传学,https://www.nature.com/articles/s41467-025-58221-7.pdf,
Maximized atom utilization in a high-entropy metallene via single atom alloying for boosted nitrate electroreduction to ammonia,"High-entropy alloys, with their unique structural characteristics and intrinsic properties, have evolved to be one of the most popular catalysts for energy-related applications. However, the geometry of the traditional nanoparticle morphology confines the majority of active atoms to the particle core, deeming them ineffective. In this study, we present a class of two-dimensional high-entropy alloys, namely, high-entropy metallenes, constructed by alloying various single-atom metals in atomically thin layers and reveal their great feasibility for electrocatalytic nitrate reduction to ammonia. Through multimetal interactions, various active centres are formed and sufficiently exposed over the metallene. Each element performs its own duties and jointly lowers the energy barrier of the rate-determining step. As expected, the proof-of-concept PdCuNiCoZn high-entropy metallene delivers satisfactory catalytic performance across wide pH ranges. In particular, in a strongly alkaline electrolyte, a maximum ammonia yield rate of 447 mg h−1 mg−1 and a high Faradaic efficiency of 99.0% are achieved. The conventional nanoparticle morphology in high-entropy alloys confines most active atoms to the particle core, making them inaccessible. Here, two-dimensional high entropy metallenes are reported, achieving maximized atom utilization and showing great feasibility for nitrate reduction.",,Nature Communications,Chemical Engineering|Chemistry|Energy,[[化学];[物理化学];[化学物理学]],L1:化学; L2:物理化学; L3:化学物理学; L1:无机化学,L1:材料科学; L2:材料科学基础学科; L3:材料表面与界面; L1:工程与技术科学基础学科; L2:工程物理学; L3:工程力学; L1:物理化学,https://www.nature.com/articles/s41467-025-63317-1.pdf,
"Polygenic architecture of brain structure and function, behaviors, and psychopathologies in children","Childhood brain development involves dynamic remodeling shaped by genetic influences contributing to long-term neurodevelopmental variation. Here we report integrative analyses of over 8600 children, using 7 brain imaging-derived phenotype (IDP) modalities, polygenic scores (PGS) of 33 complex traits, and 266 cognitive and psychological phenotypes. Most brain IDPs show low-to-moderate SNP-based heritability, lower than typically observed in adults. Sparse generalized canonical correlation analysis reveals positive associations between cognitive-related PGS and structural MRI features (e.g., total grey matter and ventral diencephalon volumes) and N-back task-related activation, while PGS for ADHD, depression, and neuroticism showed negative associations. Cognitive PGS also correlates positively with diffusion MRI metrics (streamline counts, fractional anisotropy in subcortical-frontal tracts and inferior parietal–subcortical tracts), whereas health-risk PGS (e.g., BMI, ADHD) correlates negatively. This study delineates key gene–brain–behavior associations in preadolescence, providing a multivariate dissection of the polygenic architecture underlying neurodevelopment. This study reveals how genetic profiles shape brain structure, function, and behavior in over 8,600 children, linking polygenic scores to key brain imaging features and cognitive traits during early neurodevelopment.",,Nature Communications,Neuroscience|Psychology|Psychology,[[生物学];[神经生物学]],L1:生物学; L2:神经生物学; L1:神经生物学; L2:神经生物物理学; L3:神经生理学,L1:心理学; L1:基础医学; L2:医学心理学; L1:遗传学; L2:分子遗传学; L3:数量遗传学; L1:心理学; L2:认知心理学; L3:发展心理学,https://www.nature.com/articles/s41467-025-63312-6.pdf,
Observation of a guest-free Si46 clathrate-I framework from Ba8-xSi46 upon in situ vacuum heating,"Silicon and its composites are key materials owing to their extensive use in the semiconductor industry. While the diamond-structured form dominates, other allotropes with superior properties at ambient conditions remain of interest. Toward this, Si46 clathrate type-I crystals containing alkali/alkaline-earth metals have been extensively studied, but the experimental observation of a guest-free Si46 structure has been challenging. Using advanced electron microscopy, we show experimental evidence of guest-free clathrate-I Si46 framework from Ba8-xSi46 under in situ heating. We reveal the stepwise Ba evacuation process, starting with loss of Ba1 from the smaller cages to form Ba6Si46, followed by removal of Ba2 in larger cages to reach Si46 that appears in the thin region of the nanocrystal with a thickness around 4-6 nm at 500 °C. Calculations give a quasi-direct bandgap of 1.89 eV and support the preferential evacuation of Ba1. The observation of this guest-free Si46 framework opens up possibilities for applications in high-speed transistors, optoelectronic devices or solar cell technologies. Preparation of a pure Si46 framework in the clathrate-I structure is a challenge. Here, the authors demonstrate the stepwise Ba evacuation process and observe a guest-free Si46 framework from Ba8-xSi46 using atomic-scale STEM imaging during in-situ heating.",,Nature Communications,Materials Science|Engineering|Physics and Astronomy,Unknown,,,https://www.nature.com/articles/s41467-025-64277-2.pdf,
CSF total tau as a proxy of synaptic degeneration,"Cerebrospinal fluid (CSF) total tau (t-tau) is considered a biomarker of neuronal degeneration alongside brain atrophy and fluid neurofilament light chain protein (NfL) in biomarker models of Alzheimer's disease (AD). However, previous studies show that CSF t-tau correlates strongly with synaptic dysfunction/degeneration biomarkers like neurogranin (Ng) and synaptosomal-associated protein 25 (SNAP25). Here, we compare the association between CSF t-tau and synaptic degeneration and axonal/neuronal degeneration biomarkers in cognitively unimpaired and impaired groups from two independent cohorts. We observe a stronger correlation between CSF t-tau and synaptic biomarkers than neurodegeneration biomarkers in both groups. Synaptic biomarkers explain a greater proportion of variance in CSF t-tau levels compared to neurodegeneration biomarkers. Notably, CSF t-tau levels are elevated in individuals with abnormalities only in synaptic biomarkers, but not in individuals with abnormalities only in neurodegeneration biomarkers. Our findings suggest that CSF t-tau is a closer proxy for synaptic degeneration than for axonal/neuronal degeneration.",,Nature Communications,Medicine|Medicine|Neuroscience,[[生物学];[神经生物学]],L1:生物学; L2:神经生物学,L1:基础医学; L2:病理学,https://www.nature.com/articles/s41467-025-63545-5.pdf,
FLT1 and other candidate fetal haemoglobin modifying loci in sickle cell disease in African ancestries,"Known fetal haemoglobin (HbF)-modulating loci explain 10–24% variation of HbF level in Africans with Sickle Cell Disease (SCD), compared to 50% among Europeans. Here, we report fourteen candidate loci from a genome-wide association study (GWAS) of HbF level in patients with SCD from Cameroon, Tanzania, and the United States of America. We present results of cell-based experiments for FLT1 candidate, demonstrating expression in early haematopoiesis and a possible involvement in hypoxia associated HbF induction. Our study employed genotyping arrays that capture a broad range of African and non-African genetic variation and replicated known loci (BCL11A and HBS1L-MYB). We estimated the heritability of HbF level in SCD at 94%, higher than estimated in unselected Europeans, and suggesting a robust capture of HbF-associated loci by these arrays. Our approach, which involved genotype imputation against six reference haplotype panels and association analysis with each of the panels, proved superior over selecting a best-performing panel, evidenced by a substantial proportion of panel-specific (up to 18%) and a low proportion of shared (28%) imputed variants across the panels. Here, the authors perform a genome-wide association study of fetal haemoglobin (HbF) levels in Africans with sickle cell disease replicating known loci, identifing 14 candidate loci, and highlighting FLT1's role in hypoxia-associated HbF induction.",,Nature Communications,Medicine|Medicine|Medicine,[[生物学];[遗传学]],L1:生物学; L2:遗传学,L1:基础医学; L2:医学遗传学; L1:临床医学; L2:内科学,https://www.nature.com/articles/s41467-025-57413-5.pdf,
Resolving multi-image spatial lipidomic responses to inhaled toxicants by machine learning,"Abstract Regional responses to inhaled toxicants are essential to understand the pathogenesis of lung disease under exposure to air pollution. We evaluate the effect of combined allergen sensitization and ozone exposure on eliciting spatial differences in lipid distribution in the mouse lung that may contribute to ozone-induced exacerbations in asthma. We demonstrate the ability to normalize and segment high resolution mass spectrometry imaging data by applying established machine learning algorithms. Interestingly, our segmented regions overlap with histologically validated lung regions, enabling regional analysis across biological replicates. Our data reveal differences in the abundance of spatially distinct lipids, support the potential role of lipid saturation in healthy lung function, and highlight sex differences in regional lung lipid distribution following ozone exposure. Our study provides a framework for future mass spectrometry imaging experiments capable of relative quantification across biological replicates and expansion to multiple sample types, including human tissue.",,Nature Communications,"Environmental Science|Environmental Science|Biochemistry, Genetics and Molecular Biology",[[生物学];[生物化学];[分子生物学]],L1:生物学; L2:生物化学; L3:分子生物学,L1:计算机科学技术; L2:人工智能,https://www.nature.com/articles/s41467-025-58135-4.pdf,
Tuning Li occupancy and local structures for advanced Co-free Ni-rich positive electrodes,"Structure evolution and surface reactivity have long been regarded as the most crucial points for studying Ni-rich positive electrodes for Li-ion batteries. Unfortunately, the influence of Li occupancy as a single factor on electro-chemomechanical stability has been overlooked and is missing, owing to the challenge of Li determination in the lattice. Here, a comprehensive analysis reveals different Li occupancies and related structural domains (Ni/Li exchange, LiaXOb, Li/Mn/X(Ni) ordering domains, X = Nb5+, W6+, and Mo6+) by using a combination of Li-sensitive characterization techniques. By introducing a Li-regulation strategy, the relative ratio of each domain is effectively tuned in the Ni-rich positive electrodes. Through tuning, two specific positive electrodes are designed, exhibiting notable improvement in battery cyclability. The specific Li structural units induce significant changes in redox mechanisms. This Li-occupancy-tuning approach highlights the necessity of focusing on Li distribution and opens up ideas for designing advanced Ni-rich positive electrodes with high durability.",,Nature Communications,Engineering|Engineering|Materials Science,[[化学];[物理化学]],L1:化学; L2:物理化学; L1:无机化学,L1:材料科学; L2:材料科学基础学科; L1:无机化学; L2:物理化学; L3:分析化学,https://www.nature.com/articles/s41467-025-57063-7.pdf,
Development of small molecule non-covalent coronavirus 3CL protease inhibitors from DNA-encoded chemical library screening,"Variants of SARS-CoV-2 have continued to emerge across the world and cause hundreds of deaths each week. Due to the limited efficacy of vaccines against SARS-CoV-2 and resistance to current therapies, additional anti-viral therapeutics with pan-coronavirus activity are of high interest. Here, we screen 2.8 billion compounds from a DNA-encoded chemical library and identify small molecules that are non-covalent inhibitors targeting the conserved 3CL protease of SARS-CoV-2 and other coronaviruses. We perform structure-based optimization, leading to the creation of a series of potent, non-covalent SARS-CoV-2 3CL protease inhibitors, for coronavirus infections. To characterize their binding mechanism to the 3CL protease, we determine 16 co-crystal structures and find that optimized inhibitors specifically interact with both protomers of the native homodimer of 3CL protease. Since 3CL protease is catalytically competent only in the dimeric state, these data provide insight into the design of drug-like inhibitors targeting the native homodimer state. With a binding mode different from the covalent 3CL inhibitor nirmatrelvir, the protease inhibitor in the COVID drug Paxlovid, these compounds may overcome resistance reported for nirmatrelvir and complement its clinical utility. Due to the limited efficacy of vaccines against SARS-CoV-2 and resistance to current therapies additional anti-viral therapeutics with pan-coronavirus activity are of high interest. Here, the authors screened 2.8 billion compounds from a DNA-encoded chemical library and identified small molecules that are non-covalent inhibitors targeting the conserved 3CL protease of SARS-CoV-2 and other coronaviruses.",,Nature Communications,"Medicine|Computer Science|Biochemistry, Genetics and Molecular Biology",Unknown,,,https://www.nature.com/articles/s41467-024-55421-5.pdf,
The impact of a high fat diet and platelet activation on pre-metastatic niche formation,"There is active crosstalk between tumor cells and the tumor microenvironment during metastatic progression, a process that is significantly affected by obesity, particularly in breast cancer. Here we analyze the impact of a high fat diet (HFD) on metastasis, focusing on the role of platelets in the formation of premetastatic niches (PMNs). We find that a HFD provokes pre-activation of platelets and endothelial cells, promoting the formation of PMNs in the lung. These niches are characterized by increased vascular leakiness, platelet activation and overexpression of fibronectin in both platelets and endothelial cells. A HFD promotes interactions between platelets, tumor cells and endothelial cells within PMNs, enhancing tumor cell homing and metastasis. Importantly, therapeutic interventions like anti-platelet antibody administration or a dietary switch reduce metastatic cell homing and outgrowth. Moreover, blocking fibronectin reduces the interaction of tumor cells with endothelial cells. Importantly, when coagulation parameters prior to neoadjuvant treatment are considered, triple negative breast cancer (TNBC) female patients with reduced Partial Thromboplastin time (aPTT) had a significantly shorter time to relapse. These findings highlight how diet and platelet activation in pre-metastatic niches affect tumor cell homing and metastasis, suggesting potential therapeutic interventions and prognostic markers for TNBC patients.",,Nature Communications,"Medicine|Biochemistry, Genetics and Molecular Biology|Medicine",[[生物学];[生理学];[分子生物学]],L1:生物学; L2:生理学; L3:分子生物学; L1:细胞生物学; L2:细胞生理学; L1:细胞生理学,L1:基础医学; L2:病理学; L3:药理学; L1:临床医学; L2:肿瘤学; L3:内科学; L1:生理学; L2:循环生理学; L1:生物化学; L2:脂类生物化学; L1:细胞病理学,https://www.nature.com/articles/s41467-025-57938-9.pdf,
The role of viral interaction in household transmission of symptomatic influenza and respiratory syncytial virus,"The role of viral interaction—where one virus enhances or inhibits infection with another virus—in respiratory virus transmission is not well characterized. This study used data from 4029 total participants from 957 households who participated in a prospective household cohort study in Southeast Michigan, U.S.A to examine how viral coinfection and cocirculation may impact transmission of symptomatic influenza and respiratory syncytial virus infections. We utilized multivariable mixed effects regression to estimate transmission risk when index cases were coinfected with multiple viruses and when viruses cocirculated within households. This analysis included 201 coinfections involving influenza A virus, 67 involving influenza B virus, and 181 involving respiratory syncytial virus. We show that exposure to symptomatic coinfected index cases was associated with reduced risk of influenza A virus and respiratory syncytial virus transmission compared to exposure to singly infected cases, while infection with another virus was associated with increased risk of acquisition of these viruses. Exposure to coinfected cases among contacts infected with other viruses was associated with increased risk of influenza B virus acquisition. These results suggest that viral interaction may impact symptomatic transmission of these viruses. Interactions between respiratory viruses in co-infections may impact their transmission dynamics but impacts at the individual-level are not well understood. Here, the authors use data from a prospective household-based cohort study to investigate the impact of co-infection on transmission and acquisition of influenza and RSV.",,Nature Communications,Medicine|Medicine|Medicine,Unknown,,,https://www.nature.com/articles/s41467-025-56285-z.pdf,
Obesity-associated macrophages dictate adipose stem cell ferroptosis and visceral fat dysfunction by propagating mitochondrial fragmentation,"Morbid obesity induces adipose stem cell (ASC) shortage that impairs visceral adipose tissue (VAT) homeostasis. Macrophages cooperate with ASCs to regulate VAT metabolism, their impact on ASC shortage remains elusive. TNF-α-induced protein 8-like 2 (TIPE2) is an important regulator in immune cells, its expression in VAT macrophages and function in macrophage-ASC crosstalk are largely unknown. Here, TIPE2 loss in VAT macrophages promotes ASC ferroptosis to aggravate diet-induced obesity and metabolic disorders in male mice, which can be corrected by macrophage-specific TIPE2 restoration in VAT. Mechanistically, TIPE2-deficient macrophages propagate mitochondrial fragmentation and reduce delivery of exosomal ferritin toward ASCs, resulting in mitochondrial ROS and Fe2+ overload that dictates ASC ferroptosis. TIPE2 interacts with IP3R to constrain IP3R-Ca2+-Drp1 axis, thereby preventing excessive mitochondrial fission and enabling macrophages to protect against ASC ferroptosis. This study reveals distinct obesity-associated macrophages that dictate ASC ferroptosis, and proposes macrophage TIPE2 as therapeutic target for obesity-related diseases.",,Nature Communications,"Medicine|Biochemistry, Genetics and Molecular Biology|Biochemistry, Genetics and Molecular Biology",[[细胞生物学];[细胞生理学]],L1:细胞生物学; L2:细胞生理学; L1:细胞生理学,L1:生理学; L2:内分泌生理学; L1:生物化学; L2:激素生物化学; L1:细胞免疫学; L1:细胞病理学,https://www.nature.com/articles/s41467-025-62690-1.pdf,
Reversible biobased adhesives enable closed-loop engineered composites,"Ubiquitous synthetic resin adhesives based on petrochemical brings environmental burdens and health concerns. Many researchers have been focused on developing biomass-derived alternatives, and reported many strong-adhesion products with high cohesive density. However, the stabilized structure-dependent adhesion contributes to greater difficulty in recycling, especially hetero-layered composites. Here, a supramolecularly connected nanoconfined network strategy is proposed for ultra-strong yet switchable biobased adhesives, where cellulose nanoconfinement phases takes up 36.5-46.3 wt%. Dependent on thermally responsive disulfide bond, resulting adhesives achieve both excellent adhesion strength (6.02 MPa) that can support a 65 kg weight with 4 cm2, and instant thermo-responsive detachment with a high switching ratio over 600 (debonding adhesion ≈0 MPa, response time ≤ 10 s). Under the alternating temperature, adhesive-based composites can be disassembled into different categories and fully recycled through the destruction of dynamic crosslinked network. The full life cycle impact assessment shows this strategy is able to avoid the inherent environmental (about 7.52 * 102 PAF m3 d/kgemitted) and health (about 2.04 * 10-4 cases/kgemitted) burden. This work establishes a paradigm for closed-loop engineered composites by the substantive breakthrough of green intelligent adhesives, providing ways to alleviate environmental stress.",,Nature Communications,Materials Science|Materials Science|Chemical Engineering,[[材料科学];[有机高分子材料]],L1:材料科学; L2:有机高分子材料; L1:有机高分子材料,L1:化学; L2:高分子化学; L1:复合材料,https://www.nature.com/articles/s41467-025-62917-1.pdf,
AAV9-mediated MYBPC3 gene therapy with optimized expression cassette enhances cardiac function and survival in MYBPC3 cardiomyopathy models,"Hypertrophic cardiomyopathy (HCM) affects approximately 600,000 people in the United States. Loss-of-function mutations in Myosin Binding Protein C3, MYBPC3, are the most common genetic cause of HCM, with the majority of mutations resulting in haploinsufficiency. To restore cardiac MYBPC3, we use an adeno-associated virus (AAV9) vector and engineer an optimized expression cassette with a minimal promoter and cis-regulatory elements (TN-201) to enhance packaging efficiency and cardiomyocyte expression. Rather than simply preventing cardiac dysfunction preclinically, we demonstrate in a symptomatic MYBPC3-deficient murine model the ability of AAV gene therapy to reverse cardiac hypertrophy and systolic dysfunction, improve diastolic dysfunction, and prolong survival. Dose-ranging efficacy studies exhibit restoration of wild-type MYBPC3 protein levels and saturation of cardiac improvement at the clinically relevant dose of 3E13 vg/kg, outperforming a previously published construct. These findings suggest that TN-201 may offer therapeutic benefits in MYBPC3-associated cardiomyopathy, pending further validation in clinical settings.",,Nature Communications,"Medicine|Medicine|Biochemistry, Genetics and Molecular Biology",[[生物学];[生物工程]],L1:生物学; L2:生物工程; L1:遗传学; L2:分子遗传学,L1:基础医学; L2:药理学; L1:生物工程; L2:基因工程,https://www.nature.com/articles/s41467-025-57481-7.pdf,
Role of the real first interface in regulating ionic signal of nanochannels,"Mass transport through nanochannels involves interactions across six distinct regions, including the ""real first interface"" (RFI), a region formed by functional elements extending into the bulk solution and their surrounding bulk solution. While previous studies have revealed the roles of the bulk solution, outer surface, and inner wall, the contribution of RFI remains unclear due to its susceptibility to interference from neighboring regions, which makes its individual role difficult to isolate. Herein, we show that a diblock DNA probe can be used to independently investigate the RFI by keeping the properties of the other five regions constant. Our results demonstrate that the RFI's role in regulating ionic current in our system is mainly determined by charge effects. These findings highlight the distinct and previously underappreciated role of the RFI in nanochannel transport and suggest that resolving its function may provide the final piece in understanding ion transport mechanisms in confined systems. Ion transport in nanochannels is governed by distinct regions, including the 'real first interface' (RFI), whose role remains unclear. Here, the authors design a diblock DNA probe to isolate and reveal the charge-driven contribution of the RFI to ionic current regulation.",,Nature Communications,Engineering|Engineering|Engineering,[[物理学];[凝聚态物理学]],L1:物理学; L2:凝聚态物理学,L1:化学; L2:物理化学,https://www.nature.com/articles/s41467-025-62077-2.pdf,
Structural insights into human brachyury DNA recognition and discovery of progressible binders for cancer therapy,"Abstract Brachyury is a transcription factor that plays an essential role in tumour growth of the rare bone cancer chordoma and is implicated in other solid tumours. Brachyury is minimally expressed in healthy tissues, making it a potential therapeutic target. Unfortunately, as a ligandless transcription factor, brachyury has historically been considered undruggable. To investigate direct targeting of brachyury by small molecules, we determine the structure of human brachyury both alone and in complex with DNA. The structures provide insights into DNA binding and the context of the chordoma associated G177D variant. We use crystallographic fragment screening to identify hotspots on numerous pockets on the brachyury surface. Finally, we perform follow-up chemistry on fragment hits and describe the progression of a thiazole chemical series into binders with low µM potency. Thus we show that brachyury is ligandable and provide an example of how crystallographic fragment screening may be used to target protein classes that are difficult to address using other approaches.",,Nature Communications,"Medicine|Biochemistry, Genetics and Molecular Biology|Medicine",[[生物学]; [分子生物学]],L1:生物学; L2:分子生物学; L1:生物化学; L2:分子生物物理学; L1:多肽与蛋白质生物化学,L1:药学; L2:药物化学; L1:基础医学; L2:医学生物化学; L1:分子生物学; L1:核酸生物化学,https://www.nature.com/articles/s41467-025-56213-1.pdf,
